1	37	52	0
2	49	49	27
3	52	64	31
4	20	26	26
5	40	30	17
6	21	47	18
7	17	63	32
8	31	62	29
9	52	33	20
10	51	21	18
11	42	41	27
12	31	32	19
13	5	25	24
14	12	42	30
15	36	16	21
16	52	41	23
17	27	23	34
18	17	33	19
19	13	13	29
20	57	58	18
21	62	42	30
22	42	57	22
23	16	57	16
24	8	52	20
25	7	38	13
26	27	68	26
27	30	48	31
28	43	67	19
29	58	48	14
30	58	27	24
31	37	69	28
32	38	46	10
33	46	10	33
34	61	33	22
35	62	63	20
36	63	69	13
37	32	22	25
38	45	35	33
39	59	15	28
40	5	6	16
41	10	17	15
42	21	10	22
43	5	64	18
44	30	15	25
45	39	10	31
46	32	39	26
47	25	32	17
48	25	55	28
49	48	28	12
50	56	37	19
51	30	40	14

