1	37	52	0
2	49	49	5
3	52	64	9
4	20	26	15
5	40	30	6
6	21	47	14
7	17	63	10
8	31	62	6
9	52	33	9
10	51	21	2
11	42	41	3
12	31	32	3
13	5	25	8
14	12	42	14
15	36	16	15
16	52	41	12
17	27	23	8
18	17	33	9
19	13	13	12
20	57	58	2
21	62	42	4
22	42	57	8
23	16	57	7
24	8	52	1
25	7	38	2
26	27	68	4
27	30	48	4
28	43	67	8
29	58	48	1
30	58	27	10
31	37	69	6
32	38	46	15
33	46	10	9
34	61	33	15
35	62	63	7
36	63	69	7
37	32	22	2
38	45	35	9
39	59	15	4
40	5	6	13
41	10	17	7
42	21	10	5
43	5	64	4
44	30	15	15
45	39	10	15
46	32	39	11
47	25	32	5
48	25	55	13
49	48	28	5
50	56	37	8
51	30	40	5

