1	41	49	0
2	35	17	3
3	55	45	24
4	55	20	38
5	15	30	18
6	25	30	27
7	20	50	23
8	10	43	16
9	55	60	19
10	30	60	22
11	20	65	10
12	50	35	37
13	30	25	25
14	15	10	5
15	30	5	14
16	10	20	38
17	5	30	39
18	20	40	17
19	15	60	31
20	45	65	5
21	45	20	24
22	45	10	37
23	55	5	33
24	65	35	15
25	65	20	28
26	45	30	21
27	35	40	37
28	41	37	14
29	64	42	19
30	40	60	36
31	31	52	9
32	35	69	21
33	53	52	15
34	65	55	20
35	63	65	11
36	2	60	15
37	20	20	22
38	5	5	29
39	60	12	20
40	40	25	32
41	42	7	14
42	24	12	28
43	23	3	23
44	11	14	16
45	6	38	5
46	2	48	35
47	8	56	33
48	13	52	13
49	6	68	28
50	47	47	26
51	49	58	35
52	27	43	35
53	37	31	38
54	57	29	4
55	63	23	37
56	53	12	16
57	32	12	39
58	36	26	19
59	21	24	23
60	17	34	20
61	12	24	34
62	24	58	34
63	27	69	14
64	15	77	20
65	62	77	32
66	49	73	30
67	67	5	26
68	56	39	36
69	37	47	32
70	37	56	27
71	57	68	30
72	47	16	1
73	44	17	25
74	46	13	36
75	49	11	30
76	49	42	11
77	53	43	25
78	61	52	19
79	57	48	28
80	56	37	18
81	55	54	33
82	15	47	9
83	14	37	15
84	11	31	16
85	16	22	18
86	4	18	14
87	28	18	8
88	26	52	4
89	26	35	32
90	31	67	14
91	15	19	4
92	22	22	6
93	18	24	24
94	26	27	25
95	25	24	26
96	22	27	21
97	25	21	39
98	19	21	31
99	20	26	31
100	18	18	22
101	35	35	23

