1	41	49	0
2	35	17	6
3	55	45	15
4	55	20	9
5	15	30	11
6	25	30	10
7	20	50	11
8	10	43	3
9	55	60	12
10	30	60	6
11	20	65	7
12	50	35	5
13	30	25	7
14	15	10	4
15	30	5	10
16	10	20	13
17	5	30	2
18	20	40	9
19	15	60	11
20	45	65	3
21	45	20	5
22	45	10	10
23	55	5	13
24	65	35	15
25	65	20	6
26	45	30	3
27	35	40	2
28	41	37	6
29	64	42	11
30	40	60	2
31	31	52	11
32	35	69	10
33	53	52	11
34	65	55	15
35	63	65	9
36	2	60	6
37	20	20	2
38	5	5	15
39	60	12	13
40	40	25	15
41	42	7	7
42	24	12	9
43	23	3	15
44	11	14	12
45	6	38	6
46	2	48	13
47	8	56	10
48	13	52	15
49	6	68	4
50	47	47	10
51	49	58	12
52	27	43	4
53	37	31	9
54	57	29	1
55	63	23	5
56	53	12	10
57	32	12	12
58	36	26	11
59	21	24	2
60	17	34	4
61	12	24	2
62	24	58	10
63	27	69	2
64	15	77	8
65	62	77	5
66	49	73	4
67	67	5	10
68	56	39	10
69	37	47	10
70	37	56	5
71	57	68	6
72	47	16	5
73	44	17	3
74	46	13	9
75	49	11	8
76	49	42	15
77	53	43	6
78	61	52	5
79	57	48	2
80	56	37	12
81	55	54	3
82	15	47	15
83	14	37	13
84	11	31	14
85	16	22	9
86	4	18	13
87	28	18	14
88	26	52	1
89	26	35	3
90	31	67	6
91	15	19	11
92	22	22	10
93	18	24	2
94	26	27	8
95	25	24	13
96	22	27	10
97	25	21	14
98	19	21	6
99	20	26	2
100	18	18	6
101	35	35	13

