1	22	22	0
2	36	26	6
3	21	45	15
4	45	35	3
5	55	20	1
6	33	34	10
7	50	50	4
8	55	45	7
9	26	59	3
10	40	66	13
11	55	65	15
12	35	51	7
13	62	35	13
14	62	57	12
15	62	24	9
16	21	36	12
17	33	44	10
18	9	56	8
19	62	48	9
20	66	14	4
21	44	13	12
22	26	13	5
23	11	28	10
24	7	43	5
25	17	64	14
26	41	46	6
27	55	34	4
28	35	16	5
29	52	26	2
30	43	26	14
31	31	76	12
32	22	53	12
33	26	29	15
34	50	40	3
35	55	50	14
36	54	10	14
37	60	15	7
38	47	66	5
39	30	60	6
40	30	50	7
41	12	17	11
42	15	14	6
43	16	19	3
44	21	48	11
45	50	30	1
46	51	42	15
47	50	15	7
48	48	21	4
49	12	38	12
50	15	56	5
51	29	39	15
52	54	38	4
53	55	57	11
54	67	41	3
55	10	70	13
56	6	25	5
57	65	27	7
58	40	60	5
59	70	64	14
60	64	4	9
61	36	6	6
62	30	20	4
63	20	30	2
64	15	5	8
65	50	70	1
66	57	72	1
67	45	42	15
68	38	33	15
69	50	4	11
70	66	8	15
71	59	5	4
72	35	60	6
73	27	24	12
74	40	20	6
75	40	37	14
76	40	40	12

